Video Name, Frame Rate (f/s), Duration (ms), Duration, Frames (f)
VIRAT_S_050000_01_000207_000361, 29.970, 154021, 2 min 34 s 21 ms, 4616
VIRAT_S_050000_02_000404_000486, 29.970, 82016, 1 min 22 s 16 ms, 2458
VIRAT_S_050000_03_000585_000639, 29.970, 53621, 53 s 621 ms, 1607
VIRAT_S_050000_04_000640_000690, 29.970, 49784, 49 s 784 ms, 1492
VIRAT_S_050000_05_000696_000732, 29.970, 35736, 35 s 736 ms, 1071
VIRAT_S_050000_06_000908_000970, 29.970, 61896, 1 min 1 s 896 ms, 1855
VIRAT_S_050000_07_001014_001126, 29.970, 111812, 1 min 51 s 812 ms, 3351
VIRAT_S_050000_08_001235_001295, 29.970, 59794, 59 s 794 ms, 1792
VIRAT_S_050000_09_001310_001373, 29.970, 62897, 1 min 2 s 897 ms, 1885
VIRAT_S_050000_10_001462_001491, 29.970, 28763, 28 s 763 ms, 862
VIRAT_S_050000_11_001530_001576, 29.970, 45679, 45 s 679 ms, 1368
VIRAT_S_050000_12_001591_001619, 29.970, 27828, 27 s 828 ms, 834
VIRAT_S_050000_13_001722_001766, 29.970, 43911, 43 s 911 ms, 1316
VIRAT_S_050000_16_001947_001989, 29.970, 41876, 41 s 876 ms, 1255
