VIRAT_S_010200_00_000060_000218
Event ID, Event Type, Event Duration, Event Start, Event End
11, 9: Person carrying an object, 0:00:50.517184, 0:00:35.568902, 0:01:26.052719
12, 9: Person carrying an object, 0:00:14.247581, 0:01:48.074741, 0:02:02.288956
13, 9: Person carrying an object, 0:00:20.587254, 0:00:57.824491, 0:01:18.378378
14, 9: Person carrying an object, 0:00:16.282950, 0:00:04.471138, 0:00:20.720721
15, 12: Person exiting a facility, 0:00:02.869536, 0:01:48.408408, 0:01:51.244578
16, 12: Person exiting a facility, 0:00:02.268936, 0:01:51.378045, 0:01:53.613614

VIRAT_S_010200_02_000349_000398
Event ID, Event Type, Event Duration, Event Start, Event End
2, 11: Person entering a facility, 0:00:05.705706, 0:00:03.536870, 0:00:09.209209
3, 12: Person exiting a facility, 0:00:02.802803, 0:00:22.055389, 0:00:24.824825

VIRAT_S_010200_03_000470_000567
Event ID, Event Type, Event Duration, Event Start, Event End
66, 7: Person gesturing, 0:00:01.868535, 0:00:00, 0:00:01.835169
67, 7: Person gesturing, 0:00:02.502503, 0:00:03.069736, 0:00:05.538872
68, 9: Person carrying an object, 0:00:25.825826, 0:00:01.634968, 0:00:27.427427
69, 9: Person carrying an object, 0:00:21.321321, 0:00:02.102102, 0:00:23.390057
70, 9: Person carrying an object, 0:00:27.894561, 0:00:02.235569, 0:00:30.096763
71, 11: Person entering a facility, 0:00:03.269937, 0:00:06.139473, 0:00:09.376043

VIRAT_S_010200_04_000568_000620
Event ID, Event Type, Event Duration, Event Start, Event End
2, 11: Person entering a facility, 0:00:04.137471, 0:00:03.370037, 0:00:07.474141
3, 11: Person entering a facility, 0:00:02.369036, 0:00:12.846180, 0:00:15.181849
4, 12: Person exiting a facility, 0:00:02.535869, 0:00:22.889556, 0:00:25.392059
5, 9: Person carrying an object, 0:00:17.350684, 0:00:00, 0:00:17.317317
6, 9: Person carrying an object, 0:00:16.683350, 0:00:00, 0:00:16.649983
7, 9: Person carrying an object, 0:00:12.212212, 0:00:00, 0:00:12.178846
8, 9: Person carrying an object, 0:00:06.506507, 0:00:00, 0:00:06.473140
9, 9: Person carrying an object, 0:00:15.248582, 0:00:00, 0:00:15.215215
10, 9: Person carrying an object, 0:00:29.062396, 0:00:00, 0:00:29.029029
11, 9: Person carrying an object, 0:00:25.725726, 0:00:11.378045, 0:00:37.070404
12, 9: Person carrying an object, 0:00:05.538872, 0:00:15.782449, 0:00:21.287955
13, 9: Person carrying an object, 0:00:03.370037, 0:00:25.325325, 0:00:28.661995

VIRAT_S_010200_05_000658_000700
Event ID, Event Type, Event Duration, Event Start, Event End
10, 12: Person exiting a facility, 0:00:02.869536, 0:00:01.634968, 0:00:04.471138
11, 9: Person carrying an object, 0:00:25.992659, 0:00:00, 0:00:25.959293
13, 11: Person entering a facility, 0:00:04.337671, 0:00:11.745078, 0:00:16.049383
