Video Name, Event ID, Event Type, Event Duration (f), Event Start (f)
VIRAT_S_000200_00_000100_000171, 0, 6: Person getting out of a Vehicle, 196, 637
VIRAT_S_000200_01_000226_000268, 0, 6: Person getting out of a Vehicle, 131, 674
VIRAT_S_000200_03_000657_000899, 0, 6: Person getting out of a Vehicle, 527, 6611
VIRAT_S_000200_04_000937_001443, 36, 6: Person getting out of a Vehicle, 149, 849
VIRAT_S_000200_04_000937_001443, 38, 9: Person carrying an object, 235, 5398
VIRAT_S_000200_04_000937_001443, 39, 9: Person carrying an object, 300, 7381
VIRAT_S_000200_04_000937_001443, 40, 9: Person carrying an object, 1063, 11277
VIRAT_S_000200_04_000937_001443, 41, 9: Person carrying an object, 409, 11284
VIRAT_S_000200_04_000937_001443, 42, 9: Person carrying an object, 330, 11302
VIRAT_S_000200_04_000937_001443, 43, 5: Person getting into a Vehicle, 135, 12367
VIRAT_S_000200_04_000937_001443, 44, 9: Person carrying an object, 1393, 12964
VIRAT_S_000200_04_000937_001443, 45, 9: Person carrying an object, 431, 14211
VIRAT_S_000200_04_000937_001443, 46, 9: Person carrying an object, 886, 1504
VIRAT_S_000200_06_001693_001824, 0, 6: Person getting out of a Vehicle, 973, 1346
VIRAT_S_000200_06_001693_001824, 1, 3: Person Opening a Vehicle/Car Trunk, 60, 2551
VIRAT_S_000200_06_001693_001824, 3, 4: Person Closing a Vehicle/Car Trunk, 60, 2634
VIRAT_S_000201_00_000018_000380, 31, 9: Person carrying an object, 508, 0
VIRAT_S_000201_00_000018_000380, 32, 9: Person carrying an object, 411, 934
VIRAT_S_000201_00_000018_000380, 33, 9: Person carrying an object, 191, 197
VIRAT_S_000201_00_000018_000380, 34, 9: Person carrying an object, 1236, 3182
VIRAT_S_000201_00_000018_000380, 35, 9: Person carrying an object, 1257, 3182
VIRAT_S_000201_00_000018_000380, 36, 6: Person getting out of a Vehicle, 192, 3493
VIRAT_S_000201_00_000018_000380, 37, 9: Person carrying an object, 31, 3705
VIRAT_S_000201_00_000018_000380, 38, 9: Person carrying an object, 150, 5404
VIRAT_S_000201_00_000018_000380, 39, 6: Person getting out of a Vehicle, 61, 5901
VIRAT_S_000201_00_000018_000380, 40, 6: Person getting out of a Vehicle, 250, 6672
VIRAT_S_000201_00_000018_000380, 41, 9: Person carrying an object, 1768, 7414
VIRAT_S_000201_00_000018_000380, 42, 9: Person carrying an object, 1144, 8086
VIRAT_S_000201_00_000018_000380, 43, 9: Person carrying an object, 373, 7606
VIRAT_S_000201_00_000018_000380, 45, 5: Person getting into a Vehicle, 277, 8544
VIRAT_S_000201_00_000018_000380, 46, 6: Person getting out of a Vehicle, 113, 8928
VIRAT_S_000201_00_000018_000380, 47, 3: Person Opening a Vehicle/Car Trunk, 118, 9156
VIRAT_S_000201_00_000018_000380, 48, 4: Person Closing a Vehicle/Car Trunk, 90, 9670
VIRAT_S_000201_00_000018_000380, 49, 5: Person getting into a Vehicle, 149, 9771
VIRAT_S_000201_00_000018_000380, 50, 9: Person carrying an object, 37, 9885
VIRAT_S_000201_00_000018_000380, 51, 6: Person getting out of a Vehicle, 148, 10413
VIRAT_S_000201_00_000018_000380, 52, 9: Person carrying an object, 492, 10341
VIRAT_S_000201_00_000018_000380, 53, 9: Person carrying an object, 322, 9900
VIRAT_S_000201_00_000018_000380, 54, 9: Person carrying an object, 633, 10200
VIRAT_S_000201_01_000384_000589, 0, 6: Person getting out of a Vehicle, 392, 631
VIRAT_S_000201_01_000384_000589, 1, 2: Person Unloading an Object from a Car/Vehicle, 60, 3422
VIRAT_S_000201_01_000384_000589, 2, 2: Person Unloading an Object from a Car/Vehicle, 60, 3661
VIRAT_S_000201_02_000590_000623, 8, 9: Person carrying an object, 17, 0
VIRAT_S_000201_02_000590_000623, 9, 9: Person carrying an object, 112, 0
VIRAT_S_000201_02_000590_000623, 10, 5: Person getting into a Vehicle, 214, 479
VIRAT_S_000201_03_000640_000672, 0, 6: Person getting out of a Vehicle, 187, 572
VIRAT_S_000201_05_001081_001215, 1, 6: Person getting out of a Vehicle, 147, 546
VIRAT_S_000201_05_001081_001215, 2, 6: Person getting out of a Vehicle, 227, 2623
VIRAT_S_000201_05_001081_001215, 3, 6: Person getting out of a Vehicle, 780, 1542
VIRAT_S_000201_06_001354_001397, 0, 6: Person getting out of a Vehicle, 253, 449
VIRAT_S_000201_07_001485_001581, 0, 6: Person getting out of a Vehicle, 128, 601
VIRAT_S_000201_07_001485_001581, 1, 3: Person Opening a Vehicle/Car Trunk, 60, 1580
