Video Name, Event ID, Event Type, Event Duration (f), Event Start (f)
VIRAT_S_010000_00_000000_000165, 19, 9: Person carrying an object, 1303, 1413
VIRAT_S_010000_00_000000_000165, 20, 9: Person carrying an object, 311, 1811
VIRAT_S_010000_00_000000_000165, 21, 9: Person carrying an object, 102, 1876
VIRAT_S_010000_00_000000_000165, 22, 9: Person carrying an object, 488, 1801
VIRAT_S_010000_00_000000_000165, 23, 9: Person carrying an object, 592, 1701
VIRAT_S_010000_00_000000_000165, 24, 12: Person exiting a facility, 48, 2402
VIRAT_S_010000_00_000000_000165, 25, 12: Person exiting a facility, 47, 2431
VIRAT_S_010000_00_000000_000165, 26, 11: Person entering a facility, 73, 2733
VIRAT_S_010000_00_000000_000165, 27, 9: Person carrying an object, 514, 192
VIRAT_S_010000_00_000000_000165, 28, 9: Person carrying an object, 471, 230
VIRAT_S_010000_00_000000_000165, 29, 12: Person exiting a facility, 72, 2932
VIRAT_S_010000_00_000000_000165, 30, 12: Person exiting a facility, 61, 2932
VIRAT_S_010000_00_000000_000165, 31, 12: Person exiting a facility, 64, 2952
VIRAT_S_010000_00_000000_000165, 32, 12: Person exiting a facility, 65, 3121
VIRAT_S_010000_00_000000_000165, 36, 12: Person exiting a facility, 122, 1968
VIRAT_S_010000_00_000000_000165, 37, 9: Person carrying an object, 280, 720
VIRAT_S_010000_01_000184_000324, 34, 9: Person carrying an object, 1475, 149
VIRAT_S_010000_01_000184_000324, 37, 11: Person entering a facility, 64, 1672
VIRAT_S_010000_01_000184_000324, 38, 9: Person carrying an object, 254, 2086
VIRAT_S_010000_01_000184_000324, 39, 11: Person entering a facility, 83, 2268
VIRAT_S_010000_01_000184_000324, 40, 12: Person exiting a facility, 47, 285
VIRAT_S_010000_01_000184_000324, 41, 12: Person exiting a facility, 72, 360
VIRAT_S_010000_01_000184_000324, 42, 9: Person carrying an object, 308, 391
VIRAT_S_010000_01_000184_000324, 43, 9: Person carrying an object, 119, 429
VIRAT_S_010000_01_000184_000324, 44, 12: Person exiting a facility, 68, 790
VIRAT_S_010000_01_000184_000324, 45, 12: Person exiting a facility, 51, 809
VIRAT_S_010000_01_000184_000324, 46, 9: Person carrying an object, 943, 1779
VIRAT_S_010000_01_000184_000324, 47, 12: Person exiting a facility, 47, 2278
VIRAT_S_010000_03_000442_000528, 26, 9: Person carrying an object, 460, 673
VIRAT_S_010000_03_000442_000528, 27, 9: Person carrying an object, 793, 0
VIRAT_S_010000_03_000442_000528, 29, 11: Person entering a facility, 100, 786
VIRAT_S_010000_03_000442_000528, 30, 12: Person exiting a facility, 47, 1200
VIRAT_S_010000_04_000530_000605, 1, 12: Person exiting a facility, 80, 230
VIRAT_S_010000_04_000530_000605, 2, 12: Person exiting a facility, 66, 247
VIRAT_S_010000_04_000530_000605, 5, 11: Person entering a facility, 83, 1225
VIRAT_S_010000_04_000530_000605, 6, 11: Person entering a facility, 76, 1228
VIRAT_S_010000_04_000530_000605, 7, 11: Person entering a facility, 65, 1393
VIRAT_S_010000_04_000530_000605, 8, 9: Person carrying an object, 162, 1590
