VIRAT_S_010000_00_000000_000165
Event ID, Event Type, Event Duration, Event Start, Event End
19, 9: Person carrying an object, 0:00:43.476810, 0:00:47.147147, 0:01:30.590591
20, 9: Person carrying an object, 0:00:10.377044, 0:01:00.427094, 0:01:10.770771
21, 9: Person carrying an object, 0:00:03.403403, 0:01:02.595929, 0:01:05.965966
22, 9: Person carrying an object, 0:00:16.282950, 0:01:00.093427, 0:01:16.343010
23, 9: Person carrying an object, 0:00:19.753086, 0:00:56.756757, 0:01:16.476476
24, 12: Person exiting a facility, 0:00:01.601602, 0:01:20.146813, 0:01:21.715048
25, 12: Person exiting a facility, 0:00:01.568235, 0:01:21.114448, 0:01:22.649316
26, 11: Person entering a facility, 0:00:02.435769, 0:01:31.191191, 0:01:33.593594
27, 9: Person carrying an object, 0:00:17.150484, 0:00:06.406406, 0:00:23.523524
28, 9: Person carrying an object, 0:00:15.715716, 0:00:07.674341, 0:00:23.356690
29, 12: Person exiting a facility, 0:00:02.402402, 0:01:37.831164, 0:01:40.200200
30, 12: Person exiting a facility, 0:00:02.035369, 0:01:37.831164, 0:01:39.833166
31, 12: Person exiting a facility, 0:00:02.135469, 0:01:38.498498, 0:01:40.600601
32, 12: Person exiting a facility, 0:00:02.168836, 0:01:44.137471, 0:01:46.272940
36, 12: Person exiting a facility, 0:00:04.070737, 0:01:05.665666, 0:01:09.703036
37, 9: Person carrying an object, 0:00:09.342676, 0:00:24.024024, 0:00:33.333333

VIRAT_S_010000_01_000184_000324
Event ID, Event Type, Event Duration, Event Start, Event End
34, 9: Person carrying an object, 0:00:49.215883, 0:00:04.971638, 0:00:54.154154
37, 11: Person entering a facility, 0:00:02.135469, 0:00:55.789122, 0:00:57.891225
38, 9: Person carrying an object, 0:00:08.475142, 0:01:09.602936, 0:01:18.044711
39, 11: Person entering a facility, 0:00:02.769436, 0:01:15.675676, 0:01:18.411745
40, 12: Person exiting a facility, 0:00:01.568235, 0:00:09.509510, 0:00:11.044378
41, 12: Person exiting a facility, 0:00:02.402402, 0:00:12.012012, 0:00:14.381048
42, 9: Person carrying an object, 0:00:10.276944, 0:00:13.046380, 0:00:23.289957
43, 9: Person carrying an object, 0:00:03.970637, 0:00:14.314314, 0:00:18.251585
44, 12: Person exiting a facility, 0:00:02.268936, 0:00:26.359693, 0:00:28.595262
45, 12: Person exiting a facility, 0:00:01.701702, 0:00:26.993660, 0:00:28.661995
46, 9: Person carrying an object, 0:00:31.464798, 0:00:59.359359, 0:01:30.790791
47, 12: Person exiting a facility, 0:00:01.568235, 0:01:16.009343, 0:01:17.544211

VIRAT_S_010000_03_000442_000528
Event ID, Event Type, Event Duration, Event Start, Event End
26, 9: Person carrying an object, 0:00:15.348682, 0:00:22.455789, 0:00:37.771104
27, 9: Person carrying an object, 0:00:26.459793, 0:00:00, 0:00:26.426426
29, 11: Person entering a facility, 0:00:03.336670, 0:00:26.226226, 0:00:29.529530
30, 12: Person exiting a facility, 0:00:01.568235, 0:00:40.040040, 0:00:41.574908

VIRAT_S_010000_04_000530_000605
Event ID, Event Type, Event Duration, Event Start, Event End
1, 12: Person exiting a facility, 0:00:02.669336, 0:00:07.674341, 0:00:10.310310
2, 12: Person exiting a facility, 0:00:02.202202, 0:00:08.241575, 0:00:10.410410
5, 11: Person entering a facility, 0:00:02.769436, 0:00:40.874208, 0:00:43.610277
6, 11: Person entering a facility, 0:00:02.535869, 0:00:40.974308, 0:00:43.476810
7, 11: Person entering a facility, 0:00:02.168836, 0:00:46.479813, 0:00:48.615282
8, 9: Person carrying an object, 0:00:05.405405, 0:00:53.053053, 0:00:58.425092
9, 9: Person carrying an object, 0:00:24.190858, 0:00:22.055389, 0:00:46.212880

VIRAT_S_010000_05_000638_000718
Event ID, Event Type, Event Duration, Event Start, Event End
15, 12: Person exiting a facility, 0:00:05.739072, 0:00:02.769436, 0:00:08.475142
16, 12: Person exiting a facility, 0:00:02.569236, 0:00:08.742075, 0:00:11.277945
17, 11: Person entering a facility, 0:00:02.402402, 0:00:44.010677, 0:00:46.379713
18, 11: Person entering a facility, 0:00:01.568235, 0:00:44.310978, 0:00:45.845846

VIRAT_S_010000_06_000728_000762
Event ID, Event Type, Event Duration, Event Start, Event End
2, 12: Person exiting a facility, 0:00:01.634968, 0:00:08.108108, 0:00:09.709710
3, 12: Person exiting a facility, 0:00:01.568235, 0:00:08.775442, 0:00:10.310310
4, 12: Person exiting a facility, 0:00:01.668335, 0:00:11.077744, 0:00:12.712713

VIRAT_S_010000_07_000827_000860
Event ID, Event Type, Event Duration, Event Start, Event End
4, 9: Person carrying an object, 0:00:10.443777, 0:00:00, 0:00:10.410410
5, 11: Person entering a facility, 0:00:01.568235, 0:00:09.676343, 0:00:11.211211
6, 9: Person carrying an object, 0:00:20.520521, 0:00:00, 0:00:20.487154

VIRAT_S_010000_08_000893_001024
Event ID, Event Type, Event Duration, Event Start, Event End
21, 9: Person carrying an object, 0:00:52.652653, 0:00:19.786453, 0:01:12.405739
22, 9: Person carrying an object, 0:00:43.176510, 0:00:28.228228, 0:01:11.371371
23, 11: Person entering a facility, 0:00:02.969636, 0:00:31.664998, 0:00:34.601268
24, 11: Person entering a facility, 0:00:01.568235, 0:00:34.634635, 0:00:36.169503
25, 9: Person carrying an object, 0:00:09.843177, 0:00:32.899566, 0:00:42.709376
26, 9: Person carrying an object, 0:00:03.770437, 0:00:34.934935, 0:00:38.672005
27, 9: Person carrying an object, 0:00:33.767100, 0:00:28.361695, 0:01:02.095429
28, 9: Person carrying an object, 0:00:33.033033, 0:00:49.315983, 0:01:22.315649
29, 9: Person carrying an object, 0:00:35.902569, 0:00:44.911578, 0:01:20.780781
30, 9: Person carrying an object, 0:00:31.564898, 0:00:51.551552, 0:01:23.083083
31, 9: Person carrying an object, 0:00:40.040040, 0:00:53.953954, 0:01:33.960627
32, 9: Person carrying an object, 0:00:25.759092, 0:01:08.234902, 0:01:33.960627
33, 9: Person carrying an object, 0:00:23.423423, 0:01:10.570571, 0:01:33.960627
34, 9: Person carrying an object, 0:00:22.055389, 0:01:11.938605, 0:01:33.960627
35, 12: Person exiting a facility, 0:00:04.304304, 0:01:21.014348, 0:01:25.285285
36, 12: Person exiting a facility, 0:00:01.568235, 0:01:22.749416, 0:01:24.284284

VIRAT_S_010001_00_000019_000065
Event ID, Event Type, Event Duration, Event Start, Event End
2, 11: Person entering a facility, 0:00:02.836170, 0:00:07.107107, 0:00:09.909910
3, 12: Person exiting a facility, 0:00:01.568235, 0:00:08.274942, 0:00:09.809810
5, 9: Person carrying an object, 0:00:04.871538, 0:00:00, 0:00:04.838172
6, 9: Person carrying an object, 0:00:06.272940, 0:00:00, 0:00:06.239573
7, 11: Person entering a facility, 0:00:02.569236, 0:00:20.253587, 0:00:22.789456
8, 9: Person carrying an object, 0:00:02.202202, 0:00:00, 0:00:02.168836

VIRAT_S_010001_01_000071_000167
Event ID, Event Type, Event Duration, Event Start, Event End
40, 9: Person carrying an object, 0:00:12.879546, 0:00:12.746079, 0:00:25.592259
41, 9: Person carrying an object, 0:00:23.490157, 0:00:48.548549, 0:01:12.005339
42, 11: Person entering a facility, 0:00:02.235569, 0:00:56.456456, 0:00:58.658659
43, 9: Person carrying an object, 0:00:03.169837, 0:00:40.040040, 0:00:43.176510
44, 9: Person carrying an object, 0:00:04.504505, 0:00:51.518185, 0:00:55.989323
45, 9: Person carrying an object, 0:00:09.175843, 0:00:56.823490, 0:01:05.965966
46, 11: Person entering a facility, 0:00:02.836170, 0:01:03.630297, 0:01:06.433100

VIRAT_S_010001_02_000195_000498
Event ID, Event Type, Event Duration, Event Start, Event End
53, 12: Person exiting a facility, 0:00:01.801802, 0:00:07.007007, 0:00:08.775442
54, 11: Person entering a facility, 0:00:01.835169, 0:00:30.463797, 0:00:32.265599
55, 11: Person entering a facility, 0:00:01.568235, 0:00:32.132132, 0:00:33.667000
56, 12: Person exiting a facility, 0:00:01.568235, 0:00:52.285619, 0:00:53.820487
57, 9: Person carrying an object, 0:00:05.705706, 0:00:52.752753, 0:00:58.425092
58, 9: Person carrying an object, 0:00:24.357691, 0:01:58.852186, 0:02:23.176510
59, 12: Person exiting a facility, 0:00:02.102102, 0:02:04.758091, 0:02:06.826827
60, 9: Person carrying an object, 0:00:21.921922, 0:02:18.304972, 0:02:40.193527
61, 11: Person entering a facility, 0:00:02.669336, 0:03:26.373040, 0:03:29.009009
62, 11: Person entering a facility, 0:00:02.435769, 0:03:33.446780, 0:03:35.849183
63, 12: Person exiting a facility, 0:00:02.202202, 0:03:43.656990, 0:03:45.825826
64, 12: Person exiting a facility, 0:00:02.936270, 0:03:45.158492, 0:03:48.061395
65, 11: Person entering a facility, 0:00:02.002002, 0:03:33.613614, 0:03:35.582249
66, 12: Person exiting a facility, 0:00:02.068735, 0:03:47.494161, 0:03:49.529530
67, 12: Person exiting a facility, 0:00:01.568235, 0:03:49.095762, 0:03:50.630631
